No.,POLE_NAME,Link Providor,POLE_DESCRIPTION,LAT,LON,CAMERA_NAME,CAMERA_DESCRIPTION,DISTRICT,NVR_IP,nvr_type,NVR_PORT,RTC_ZONE,RTC_PORT,RTC_IP,NVR_CHANNEL_ID,NVR,API,MONITORING_TYPE,NVR_USERNAME,NVR_PASSWORD,NVR RTSP MAIN,NVR RTSP MAIN SUB,LOCATION_ID,THING_ID,FEATUREOFINTEREST_ID,SENSOR_ID,DATASTREAM_ID (Live),,,,check_lat,ckeck_long,check_errornew
126,AC-KW-06-A,NT,บ้านหนองระแหง (ชมแสงประชานุกูล),13.90113,100.6911,AC-KW-06-A-C03,บ้านหนองระแหง (ชมแสงประชานุกูล)-A-CAM3,คลองสามวา,10.89.1.126,NVR,554,CCTV-SYMC-RTC-07,1906,10.94.12.178,3,Dahua,Dahua-API,api,admin,Bma@1234,rtsp://admin:Bma@1234@10.89.1.126:554/cam/realmonitor?channel=3&subtype=0,rtsp://admin:Bma@1234@10.89.1.126:554/cam/realmonitor?channel=3&subtype=1,,,,,,ใช้เวลาตอบสนองนานเกิน-pingไม่เจอ,#N/A,,FALSE,FALSE,ใช้เวลาตอบสนองนานเกิน-pingไม่เจอ
55,AC-KW-06-A,NT,บ้านหนองระแหง (ชมแสงประชานุกูล),13.90113,100.6911,AC-KW-06-A-C04,บ้านหนองระแหง (ชมแสงประชานุกูล)-A-CAM4,คลองสามวา,10.89.1.126,NVR,554,CCTV-SYMC-RTC-07,1915,10.94.12.178,4,Dahua,Dahua-API,api,admin,Bma@1234,rtsp://admin:Bma@1234@10.89.1.126:554/cam/realmonitor?channel=4&subtype=0,rtsp://admin:Bma@1234@10.89.1.126:554/cam/realmonitor?channel=4&subtype=1,,,,,,ใช้เวลาตอบสนองนานเกิน-pingไม่เจอ,#N/A,,FALSE,FALSE,ใช้เวลาตอบสนองนานเกิน-pingไม่เจอ
64,AC-KW-06-B,NT,บ้านหนองระแหง (ชมแสงประชานุกูล),13.90113,100.6911,AC-KW-06-B-C01,บ้านหนองระแหง (ชมแสงประชานุกูล)-B-CAM1,คลองสามวา,10.89.1.126,NVR,554,CCTV-SYMC-RTC-07,1924,10.94.12.178,5,Dahua,Dahua-API,api,admin,Bma@1234,rtsp://admin:Bma@1234@10.89.1.126:554/cam/realmonitor?channel=5&subtype=0,rtsp://admin:Bma@1234@10.89.1.126:554/cam/realmonitor?channel=5&subtype=1,,,,,,ใช้เวลาตอบสนองนานเกิน-pingไม่เจอ,#N/A,,FALSE,FALSE,ใช้เวลาตอบสนองนานเกิน-pingไม่เจอ
73,AC-KW-06-B,NT,บ้านหนองระแหง (ชมแสงประชานุกูล),13.90113,100.6911,AC-KW-06-B-C02,บ้านหนองระแหง (ชมแสงประชานุกูล)-B-CAM2,คลองสามวา,10.89.1.126,NVR,554,CCTV-SYMC-RTC-07,1933,10.94.12.178,6,Dahua,Dahua-API,api,admin,Bma@1234,rtsp://admin:Bma@1234@10.89.1.126:554/cam/realmonitor?channel=6&subtype=0,rtsp://admin:Bma@1234@10.89.1.126:554/cam/realmonitor?channel=6&subtype=1,,,,,,ใช้เวลาตอบสนองนานเกิน-pingไม่เจอ,#N/A,,FALSE,FALSE,ใช้เวลาตอบสนองนานเกิน-pingไม่เจอ
82,AC-KW-06-B,NT,บ้านหนองระแหง (ชมแสงประชานุกูล),13.90113,100.6911,AC-KW-06-B-C03,บ้านหนองระแหง (ชมแสงประชานุกูล)-B-CAM3,คลองสามวา,10.89.1.126,NVR,554,CCTV-SYMC-RTC-07,1902,10.94.12.178,7,Dahua,Dahua-API,api,admin,Bma@1234,rtsp://admin:Bma@1234@10.89.1.126:554/cam/realmonitor?channel=7&subtype=0,rtsp://admin:Bma@1234@10.89.1.126:554/cam/realmonitor?channel=7&subtype=1,,,,,,ใช้เวลาตอบสนองนานเกิน-pingไม่เจอ,#N/A,,FALSE,FALSE,ใช้เวลาตอบสนองนานเกิน-pingไม่เจอ
91,AC-KW-06-B,NT,บ้านหนองระแหง (ชมแสงประชานุกูล),13.90113,100.6911,AC-KW-06-B-C04,บ้านหนองระแหง (ชมแสงประชานุกูล)-B-CAM4,คลองสามวา,10.89.1.126,NVR,554,CCTV-SYMC-RTC-07,1911,10.94.12.178,8,Dahua,Dahua-API,api,admin,Bma@1234,rtsp://admin:Bma@1234@10.89.1.126:554/cam/realmonitor?channel=8&subtype=0,rtsp://admin:Bma@1234@10.89.1.126:554/cam/realmonitor?channel=8&subtype=1,,,,,,ใช้เวลาตอบสนองนานเกิน-pingไม่เจอ,#N/A,,FALSE,FALSE,ใช้เวลาตอบสนองนานเกิน-pingไม่เจอ
100,AC-KW-13-A,NT,วัดศรีสุก,13.91886,100.7914,AC-KW-13-A-C01,วัดศรีสุก-CAM1,คลองสามวา,10.89.2.62,NVR,554,CCTV-SYMC-RTC-07,1920,10.94.12.178,1,Dahua,Dahua-API,api,admin,Bma@1234,rtsp://admin:Bma@1234@10.89.2.62:554/cam/realmonitor?channel=1&subtype=0,rtsp://admin:Bma@1234@10.89.2.62:554/cam/realmonitor?channel=1&subtype=1,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
109,AC-KW-13-A,NT,วัดศรีสุก,13.91886,100.7914,AC-KW-13-A-C02,วัดศรีสุก-CAM2,คลองสามวา,10.89.2.62,NVR,554,CCTV-SYMC-RTC-07,1929,10.94.12.178,2,Dahua,Dahua-API,api,admin,Bma@1234,rtsp://admin:Bma@1234@10.89.2.62:554/cam/realmonitor?channel=2&subtype=0,rtsp://admin:Bma@1234@10.89.2.62:554/cam/realmonitor?channel=2&subtype=1,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
118,AC-KW-13-A,NT,วัดศรีสุก,13.91886,100.7914,AC-KW-13-A-C03,วัดศรีสุก-CAM3,คลองสามวา,10.89.2.62,NVR,554,CCTV-SYMC-RTC-07,1938,10.94.12.178,3,Dahua,Dahua-API,api,admin,Bma@1234,rtsp://admin:Bma@1234@10.89.2.62:554/cam/realmonitor?channel=3&subtype=0,rtsp://admin:Bma@1234@10.89.2.62:554/cam/realmonitor?channel=3&subtype=1,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
127,AC-KW-13-B,NT,วัดศรีสุก,13.91886,100.7914,AC-KW-13-A-C04,วัดศรีสุก-CAM4,คลองสามวา,10.89.2.62,NVR,554,CCTV-SYMC-RTC-07,1907,10.94.12.178,4,Dahua,Dahua-API,api,admin,Bma@1234,rtsp://admin:Bma@1234@10.89.2.62:554/cam/realmonitor?channel=4&subtype=0,rtsp://admin:Bma@1234@10.89.2.62:554/cam/realmonitor?channel=4&subtype=1,,,,,,user หรือ password ผิด,#N/A,,FALSE,FALSE,user หรือ password ผิด
136,AC-KW-13-B,NT,วัดศรีสุก,13.91886,100.7914,AC-KW-13-A-C05,วัดศรีสุก-CAM5,คลองสามวา,10.89.2.62,NVR,554,CCTV-SYMC-RTC-07,1916,10.94.12.178,5,Dahua,Dahua-API,api,admin,Bma@1234,rtsp://admin:Bma@1234@10.89.2.62:554/cam/realmonitor?channel=5&subtype=0,rtsp://admin:Bma@1234@10.89.2.62:554/cam/realmonitor?channel=5&subtype=1,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
65,AC-KW-13-B,NT,วัดศรีสุก,13.91886,100.7914,AC-KW-13-A-C06,วัดศรีสุก-CAM6,คลองสามวา,10.89.2.62,NVR,554,CCTV-SYMC-RTC-07,1925,10.94.12.178,6,Dahua,Dahua-API,api,admin,Bma@1234,rtsp://admin:Bma@1234@10.89.2.62:554/cam/realmonitor?channel=6&subtype=0,rtsp://admin:Bma@1234@10.89.2.62:554/cam/realmonitor?channel=6&subtype=1,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
174,CM1-BK-006,NT,6.ซอยรามอินทรา 40,13.8444,100.645,CM1-BK-006-C01,6.ซอยรามอินทรา 40-CAM1,บึงกุ่ม,10.81.18.190,NVR,554,CCTV-SYMC-RTC-07,1914,10.94.12.178,1,Hikvision,Hikvision-API,api,admin,12345,rtsp://admin:12345@10.81.18.190:554/Streaming/channels/101,rtsp://admin:12345@10.81.18.190:554/Streaming/channels/102,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
182,CM1-BK-006,NT,6.ซอยรามอินทรา 40,13.8444,100.645,CM1-BK-006-C02,6.ซอยรามอินทรา 40-CAM2,บึงกุ่ม,10.81.18.190,NVR,554,CCTV-SYMC-RTC-07,1922,10.94.12.178,2,Hikvision,Hikvision-API,api,admin,12345,rtsp://admin:12345@10.81.18.190:554/Streaming/channels/201,rtsp://admin:12345@10.81.18.190:554/Streaming/channels/202,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
190,CM1-BK-006,NT,6.ซอยรามอินทรา 40,13.8444,100.645,CM1-BK-006-C03,6.ซอยรามอินทรา 40-CAM3,บึงกุ่ม,10.81.18.190,NVR,554,CCTV-SYMC-RTC-07,1930,10.94.12.178,3,Hikvision,Hikvision-API,api,admin,12345,rtsp://admin:12345@10.81.18.190:554/Streaming/channels/301,rtsp://admin:12345@10.81.18.190:554/Streaming/channels/302,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
198,CM1-BK-006,NT,6.ซอยรามอินทรา 40,13.8444,100.645,CM1-BK-006-C04,6.ซอยรามอินทรา 40-CAM4,บึงกุ่ม,10.81.18.190,NVR,554,CCTV-SYMC-RTC-07,1938,10.94.12.178,4,Hikvision,Hikvision-API,api,admin,12345,rtsp://admin:12345@10.81.18.190:554/Streaming/channels/401,rtsp://admin:12345@10.81.18.190:554/Streaming/channels/402,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
207,CM1-BK-021,NT,ซอยเสรีไทย 33/1,13.7821,100.665,CM1-BK-021-C01,ซอยเสรีไทย 33/1-CAM1,บึงกุ่ม,10.81.20.158,NVR,554,CCTV-SYMC-RTC-07,1907,10.94.12.178,1,Hikvision,Hikvision-API,api,admin,12345,rtsp://admin:12345@10.81.20.158:554/Streaming/channels/101,rtsp://admin:12345@10.81.20.158:554/Streaming/channels/102,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
215,CM1-BK-021,NT,ซอยเสรีไทย 33/1,13.7821,100.665,CM1-BK-021-C02,ซอยเสรีไทย 33/1-CAM2,บึงกุ่ม,10.81.20.158,NVR,554,CCTV-SYMC-RTC-07,1915,10.94.12.178,2,Hikvision,Hikvision-API,api,admin,12345,rtsp://admin:12345@10.81.20.158:554/Streaming/channels/201,rtsp://admin:12345@10.81.20.158:554/Streaming/channels/202,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
223,CM1-BK-021,NT,ซอยเสรีไทย 33/1,13.7821,100.665,CM1-BK-021-C03,ซอยเสรีไทย 33/1-CAM3,บึงกุ่ม,10.81.20.158,NVR,554,CCTV-SYMC-RTC-07,1923,10.94.12.178,3,Hikvision,Hikvision-API,api,admin,12345,rtsp://admin:12345@10.81.20.158:554/Streaming/channels/301,rtsp://admin:12345@10.81.20.158:554/Streaming/channels/302,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
231,CM1-BK-021,NT,ซอยเสรีไทย 33/1,13.7821,100.665,CM1-BK-021-C04,ซอยเสรีไทย 33/1-CAM4,บึงกุ่ม,10.81.20.158,NVR,554,CCTV-SYMC-RTC-07,1931,10.94.12.178,4,Hikvision,Hikvision-API,api,admin,12345,rtsp://admin:12345@10.81.20.158:554/Streaming/channels/401,rtsp://admin:12345@10.81.20.158:554/Streaming/channels/402,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
240,CM1-BK-036,NT,15. ชุมชนบางเตยล่าง (1),13.8025,100.651,CM1-BK-036-C01,15. ชุมชนบางเตยล่าง (1)-CAM1,บึงกุ่ม,10.81.22.126,NVR,554,CCTV-SYMC-RTC-07,1940,10.94.12.178,1,Hikvision,Hikvision-API,api,admin,admin1234,rtsp://admin:admin1234@10.81.22.126:554/Streaming/channels/101,rtsp://admin:admin1234@10.81.22.126:554/Streaming/channels/102,,,,,,user หรือ password ผิด,#N/A,,FALSE,FALSE,user หรือ password ผิด
175,CM1-BK-036,NT,15. ชุมชนบางเตยล่าง (1),13.8025,100.651,CM1-BK-036-C02,15. ชุมชนบางเตยล่าง (1)-CAM2,บึงกุ่ม,10.81.22.126,NVR,554,CCTV-SYMC-RTC-07,1915,10.94.12.178,2,Hikvision,Hikvision-API,api,admin,admin1234,rtsp://admin:admin1234@10.81.22.126:554/Streaming/channels/201,rtsp://admin:admin1234@10.81.22.126:554/Streaming/channels/202,,,,,,user หรือ password ผิด,#N/A,,FALSE,FALSE,user หรือ password ผิด
183,CM1-BK-036,NT,15. ชุมชนบางเตยล่าง (1),13.8025,100.651,CM1-BK-036-C03,15. ชุมชนบางเตยล่าง (1)-CAM3,บึงกุ่ม,10.81.22.126,NVR,554,CCTV-SYMC-RTC-07,1923,10.94.12.178,3,Hikvision,Hikvision-API,api,admin,admin1234,rtsp://admin:admin1234@10.81.22.126:554/Streaming/channels/301,rtsp://admin:admin1234@10.81.22.126:554/Streaming/channels/302,,,,,,user หรือ password ผิด,#N/A,,FALSE,FALSE,user หรือ password ผิด
191,CM1-BK-036,NT,15. ชุมชนบางเตยล่าง (1),13.8025,100.651,CM1-BK-036-C04,15. ชุมชนบางเตยล่าง (1)-CAM4,บึงกุ่ม,10.81.22.126,NVR,554,CCTV-SYMC-RTC-07,1931,10.94.12.178,4,Hikvision,Hikvision-API,api,admin,admin1234,rtsp://admin:admin1234@10.81.22.126:554/Streaming/channels/401,rtsp://admin:admin1234@10.81.22.126:554/Streaming/channels/402,,,,,,user หรือ password ผิด,#N/A,,FALSE,FALSE,user หรือ password ผิด
199,CM1-BK-054,NT,33. ชุมชนนวลจันทร์ (1),13.8443,100.644,CM1-BK-054-C01,33. ชุมชนนวลจันทร์ (1)-CAM1,บึงกุ่ม,10.81.24.190,NVR,554,CCTV-SYMC-RTC-07,1939,10.94.12.178,1,Hikvision,Hikvision-API,api,admin,admin@1234,rtsp://admin:admin@1234@10.81.24.190:554/Streaming/channels/101,rtsp://admin:admin@1234@10.81.24.190:554/Streaming/channels/102,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
208,CM1-BK-054,NT,33. ชุมชนนวลจันทร์ (1),13.8443,100.644,CM1-BK-054-C02,33. ชุมชนนวลจันทร์ (1)-CAM2,บึงกุ่ม,10.81.24.190,NVR,554,CCTV-SYMC-RTC-07,1908,10.94.12.178,2,Hikvision,Hikvision-API,api,admin,admin@1234,rtsp://admin:admin@1234@10.81.24.190:554/Streaming/channels/201,rtsp://admin:admin@1234@10.81.24.190:554/Streaming/channels/202,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
216,CM1-BK-054,NT,33. ชุมชนนวลจันทร์ (1),13.8443,100.644,CM1-BK-054-C03,33. ชุมชนนวลจันทร์ (1)-CAM3,บึงกุ่ม,10.81.24.190,NVR,554,CCTV-SYMC-RTC-07,1916,10.94.12.178,3,Hikvision,Hikvision-API,api,admin,admin@1234,rtsp://admin:admin@1234@10.81.24.190:554/Streaming/channels/301,rtsp://admin:admin@1234@10.81.24.190:554/Streaming/channels/302,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
224,CM1-BK-054,NT,33. ชุมชนนวลจันทร์ (1),13.8443,100.644,CM1-BK-054-C04,33. ชุมชนนวลจันทร์ (1)-CAM4,บึงกุ่ม,10.81.24.190,NVR,554,CCTV-SYMC-RTC-07,1924,10.94.12.178,4,Hikvision,Hikvision-API,api,admin,admin@1234,rtsp://admin:admin@1234@10.81.24.190:554/Streaming/channels/401,rtsp://admin:admin@1234@10.81.24.190:554/Streaming/channels/402,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
232,CM1-BK-055,NT,34. ชุมชนนวลจันทร์ (2),13.8429,100.643,CM1-BK-055-C01,34. ชุมชนนวลจันทร์ (2)-CAM1,บึงกุ่ม,10.81.24.222,NVR,554,CCTV-SYMC-RTC-07,1932,10.94.12.178,1,Hikvision,Hikvision-API,api,admin,12345,rtsp://admin:12345@10.81.24.222:554/Streaming/channels/101,rtsp://admin:12345@10.81.24.222:554/Streaming/channels/102,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
241,CM1-BK-055,NT,34. ชุมชนนวลจันทร์ (2),13.8429,100.643,CM1-BK-055-C02,34. ชุมชนนวลจันทร์ (2)-CAM2,บึงกุ่ม,10.81.24.222,NVR,554,CCTV-SYMC-RTC-07,1901,10.94.12.178,2,Hikvision,Hikvision-API,api,admin,12345,rtsp://admin:12345@10.81.24.222:554/Streaming/channels/201,rtsp://admin:12345@10.81.24.222:554/Streaming/channels/202,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
250,CM1-BK-055,NT,34. ชุมชนนวลจันทร์ (2),13.8429,100.643,CM1-BK-055-C03,34. ชุมชนนวลจันทร์ (2)-CAM3,บึงกุ่ม,10.81.24.222,NVR,554,CCTV-SYMC-RTC-07,1910,10.94.12.178,3,Hikvision,Hikvision-API,api,admin,12345,rtsp://admin:12345@10.81.24.222:554/Streaming/channels/301,rtsp://admin:12345@10.81.24.222:554/Streaming/channels/302,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
184,CM1-BK-055,NT,34. ชุมชนนวลจันทร์ (2),13.8429,100.643,CM1-BK-055-C04,34. ชุมชนนวลจันทร์ (2)-CAM4,บึงกุ่ม,10.81.24.222,NVR,554,CCTV-SYMC-RTC-07,1924,10.94.12.178,4,Hikvision,Hikvision-API,api,admin,12345,rtsp://admin:12345@10.81.24.222:554/Streaming/channels/401,rtsp://admin:12345@10.81.24.222:554/Streaming/channels/402,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
192,CM1-BK-112,NT,หมู่บ้านวังทองวิลเลจ ซอยเสรีไทย 39 (1),13.7839,100.666,CM1-BK-112-C01,หมู่บ้านวังทองวิลเลจ ซอยเสรีไทย 39 (1)-CAM1,บึงกุ่ม,10.81.31.254,NVR,554,CCTV-SYMC-RTC-07,1932,10.94.12.178,1,Hikvision,Hikvision-API,api,admin,12345,rtsp://admin:12345@10.81.31.254:554/Streaming/channels/101,rtsp://admin:12345@10.81.31.254:554/Streaming/channels/102,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
200,CM1-BK-112,NT,หมู่บ้านวังทองวิลเลจ ซอยเสรีไทย 39 (1),13.7839,100.666,CM1-BK-112-C02,หมู่บ้านวังทองวิลเลจ ซอยเสรีไทย 39 (1)-CAM2,บึงกุ่ม,10.81.31.254,NVR,554,CCTV-SYMC-RTC-07,1940,10.94.12.178,2,Hikvision,Hikvision-API,api,admin,12345,rtsp://admin:12345@10.81.31.254:554/Streaming/channels/201,rtsp://admin:12345@10.81.31.254:554/Streaming/channels/202,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
209,CM1-BK-112,NT,หมู่บ้านวังทองวิลเลจ ซอยเสรีไทย 39 (1),13.7839,100.666,CM1-BK-112-C03,หมู่บ้านวังทองวิลเลจ ซอยเสรีไทย 39 (1)-CAM3,บึงกุ่ม,10.81.31.254,NVR,554,CCTV-SYMC-RTC-07,1909,10.94.12.178,3,Hikvision,Hikvision-API,api,admin,12345,rtsp://admin:12345@10.81.31.254:554/Streaming/channels/301,rtsp://admin:12345@10.81.31.254:554/Streaming/channels/302,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
217,CM1-BK-112,NT,หมู่บ้านวังทองวิลเลจ ซอยเสรีไทย 39 (1),13.7839,100.666,CM1-BK-112-C04,หมู่บ้านวังทองวิลเลจ ซอยเสรีไทย 39 (1)-CAM4,บึงกุ่ม,10.81.31.254,NVR,554,CCTV-SYMC-RTC-07,1917,10.94.12.178,4,Hikvision,Hikvision-API,api,admin,12345,rtsp://admin:12345@10.81.31.254:554/Streaming/channels/401,rtsp://admin:12345@10.81.31.254:554/Streaming/channels/402,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
255,CM1-BS-034,NT,ปากซอยวงศ์สว่าง 8,13.823050,100.522890,CM1-BS-034-C03,ปากซอยวงศ์สว่าง 8-CAM3,บางซื่อ,10.80.165.62,NVR,554,CCTV-SYMC-RTC-11,1907,10.94.12.210,3,Hikvision,Hikvision-API,api,admin,12345,rtsp://admin:12345@10.80.165.62:554/Streaming/channels/301,rtsp://admin:12345@10.80.165.62:554/Streaming/channels/302,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
256,CM1-BS-034,NT,ปากซอยวงศ์สว่าง 8,13.823050,100.522890,CM1-BS-034-C04,ปากซอยวงศ์สว่าง 8-CAM4,บางซื่อ,10.80.165.62,NVR,554,CCTV-SYMC-RTC-11,1908,10.94.12.210,4,Hikvision,Hikvision-API,api,admin,12345,rtsp://admin:12345@10.80.165.62:554/Streaming/channels/401,rtsp://admin:12345@10.80.165.62:554/Streaming/channels/402,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
257,CM1-BS-035,NT,ปากซอยประชาชื่น 31,13.834270,100.539870,CM1-BS-035-C01,ปากซอยประชาชื่น 31-CAM1,บางซื่อ,10.80.165.94,NVR,554,CCTV-SYMC-RTC-11,1909,10.94.12.210,1,Hikvision,Hikvision-API,api,admin,12345,rtsp://admin:12345@10.80.165.94:554/Streaming/channels/101,rtsp://admin:12345@10.80.165.94:554/Streaming/channels/102,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
