POLE_NAME,LON,LAT,CAMERA_ID,LOCATION_ID,THING_ID,FEATUREOFINTEREST_ID
CM3-LP-024,100.606300,13.831200,,,,
CM3-LP-024,100.606300,13.831200,,,,
CM3-LP-025,100.608500,13.838980,,,,
CM3-LP-025,100.608500,13.838980,,,,
CM3-LP-025,100.608500,13.838980,,,,
CM3-LP-039,100.612700,13.814820,,,,
CM3-LP-039,100.612700,13.814820,,,,
CM3-LP-039,100.612700,13.814820,,,,
CM3-NC-122,100.87203,13.898806,,,,
CM3-NC-122,100.87203,13.898806,,,,
CM3-NC-122,100.87203,13.898806,,,,
CM3-NK-014,100.36371,13.723473,,,,
CM3-NK-014,100.36371,13.723473,,,,
CM3-NK-014,100.36371,13.723473,,,,
CM4-HK-001,100.5895,13.74345,,,,
CM4-HK-001,100.5895,13.74345,,,,
CM4-HK-001,100.5895,13.74345,,,,
CM4-WL-002,100.6201,13.79921,,,,
CM4-WL-002,100.6201,13.79921,,,,
CM4-WL-002,100.6201,13.79921,,,,
CM5-BS-01-01,100.518255,13.800279,,,,
CM5-BS-01-01,100.518255,13.800279,,,,
CM5-BS-01-01,100.518255,13.800279,,,,
